,name,rating,review_count,company_type,headquarters,salaries_count,interview_count
0,TCS,N/A,1.2L,IT Services & Consulting,Bengaluru +485 other locations,10.4L,11.5k
1,Accenture,N/A,79k,IT Services & Consulting,Bengaluru +289 other locations,7.2L,9.6k
2,Wipro,N/A,69.4k,IT Services & Consulting,Hyderabad +400 other locations,4.9L,7.1k
3,Cognizant,N/A,65.5k,IT Services & Consulting,Hyderabad +257 other locations,6L,6.7k
4,Capgemini,N/A,57.6k,IT Services & Consulting,Bengaluru +213 other locations,4.9L,5.7k
5,HDFC Bank,N/A,57.2k,Banking,Mumbai +1943 other locations,1.5L,3.3k
6,Infosys,N/A,52.3k,IT Services & Consulting,Bengaluru +265 other locations,5.3L,8.7k
7,HCLTech,N/A,49.4k,IT Services & Consulting,Bengaluru +258 other locations,3.9L,4.7k
8,ICICI Bank,N/A,48.7k,Banking,Mumbai +1494 other locations,1.6L,3.1k
9,Tech Mahindra,N/A,46.6k,IT Services & Consulting,Hyderabad +341 other locations,2.8L,4.8k
10,Genpact,N/A,45.9k,Analytics & KPO,Hyderabad +192 other locations,2.4L,4.1k
11,TP ,N/A,42.2k,BPO,Mumbai +281 other locations,1L,2.4k
12,Axis Bank,N/A,36.3k,Banking,Mumbai +1582 other locations,1L,2.1k
13,Jio,N/A,35.4k,Telecom,Mumbai +2000 other locations,61.3k,4.6k
14,Concentrix Corporation,N/A,35.1k,BPO,Bengaluru +205 other locations,1.3L,2.1k
15,Amazon,N/A,34.4k,Internet,Bengaluru +557 other locations,1.6L,6.2k
16,Reliance Retail,N/A,29.5k,Retail,Mumbai +1217 other locations,76.2k,2.1k
17,iEnergizer,N/A,28.5k,BPO,Noida +57 other locations,25.5k,1.8k
18,LTM Limited,N/A,28.3k,IT Services & Consulting,Bengaluru +160 other locations,2L,3.5k
19,HDB Financial Services,N/A,27.9k,NBFC,Mumbai +1147 other locations,48.7k,1.2k
20,IBM,N/A,27.5k,IT Services & Consulting,Bengaluru +180 other locations,2.1L,2.7k
21,Larsen & Toubro Limited,N/A,26.2k,Engineering & Construction,Mumbai +837 other locations,77.1k,2k
22,Deloitte,N/A,25.6k,Management Consulting,Hyderabad +216 other locations,2.8L,3.5k
23,Kotak Mahindra Bank,N/A,24.2k,Banking,Mumbai +721 other locations,87.6k,1.5k
24,Reliance Industries ,N/A,21.9k,Oil & Gas,Jamnagar +861 other locations,75.8k,1.7k
25,Bharti Airtel,N/A,18.5k,Telecom,Gurugram +826 other locations,50.1k,1.2k
26,Vodafone Idea,N/A,18.5k,Telecom,Pune +737 other locations,48.5k,733
27,BYJU'S,N/A,16.6k,EdTech,Bengaluru +325 other locations,49.2k,2.1k
28,WNS,N/A,16.5k,IT Services & Consulting,Pune +73 other locations,70.7k,1.3k
29,IDFC FIRST Bank,N/A,16.5k,Banking,Mumbai +769 other locations,51.7k,1.1k
30,Ernst & Young,N/A,16k,Management Consulting,Bengaluru +148 other locations,1.5L,1.4k
31,IndusInd Bank,N/A,15.5k,Banking,Mumbai +829 other locations,52.3k,806
32,AU Small Finance Bank,N/A,15.4k,Banking,Jaipur +844 other locations,30.9k,751
33,Tata Motors,N/A,15.3k,Automobile,Pune +538 other locations,44.1k,1.4k
34,Bajaj Finserv,N/A,15k,NBFC,Pune +1296 other locations,32.7k,858
35,Flipkart,N/A,14.1k,Internet,Bengaluru +583 other locations,57.5k,1.8k
36,PwC,N/A,14k,Management Consulting,Bengaluru +152 other locations,1.3L,1.7k
37,Muthoot FinCorp,N/A,13.9k,NBFC,Bengaluru +1149 other locations,10k,2.4k
38,Mahindra & Mahindra,N/A,13.1k,Automobile,Pune +593 other locations,41.6k,932
39,Infosys BPM ,N/A,12.9k,BPO,Bengaluru +102 other locations,79.2k,1.1k
40,HDFC Life,N/A,13.2k,Insurance,Mumbai +744 other locations,34k,861
41,DXC Technology,N/A,12.7k,IT Services & Consulting,Bengaluru +136 other locations,73.6k,923
42,Bandhan Bank,N/A,12.6k,Banking,Kolkata +1084 other locations,27.6k,811
43,Digitide Solutions,N/A,11.3k,IT Services & Consulting,Hyderabad +296 other locations,27.3k,612
44,Yes Bank,N/A,11.1k,Banking,Mumbai +555 other locations,43.2k,593
45,Mphasis,N/A,10.9k,IT Services & Consulting,Bengaluru +70 other locations,75.2k,967
46,Tata Steel,N/A,10.8k,Iron & Steel,Jamshedpur +245 other locations,34.9k,1.1k
47,Quess,N/A,10.8k,Recruitment,Bengaluru +807 other locations,32.1k,574
48,Maruti Suzuki,N/A,10.5k,Automobile,Gurugram +492 other locations,29.4k,870
49,UltraTech Cement,N/A,10.5k,Building Material,Mumbai +570 other locations,25.3k,877
50,Asian Paints,N/A,10.4k,Chemicals,Mumbai +578 other locations,27k,929
51,Startek,N/A,10.5k,BPO,Bengaluru +113 other locations,25k,704
52,Paytm,N/A,10.1k,FinTech,Noida +465 other locations,34.9k,945
53,Bajaj Finance,N/A,10.4k,NBFC,Pune +1063 other locations,23.9k,479
54,Sutherland Global Services,N/A,10k,BPO,Chennai +93 other locations,37.2k,858
55,Shriram Finance,N/A,10k,NBFC,Chennai +1161 other locations,16.1k,492
56,Coforge,N/A,9.7k,IT Services & Consulting,Hyderabad +118 other locations,69.2k,1k
57,Equitas Small Finance Bank,N/A,9.5k,Banking,Chennai +494 other locations,14k,1k
58,Wells Fargo,N/A,9.4k,Financial Services,Bengaluru +32 other locations,67.1k,728
59,Cipla,N/A,9.3k,Pharma,Mumbai +313 other locations,26.7k,642
60,EXL Service,N/A,9.2k,Analytics & KPO,Noida +67 other locations,45.3k,959
61,Ericsson,N/A,8.9k,Telecom,Noida +170 other locations,42.4k,489
62,Samsung,N/A,8.8k,Consumer Electronics & Appliances,Noida +603 other locations,26.8k,653
63,Dr. Reddy's,N/A,8.8k,Pharma,Hyderabad +225 other locations,26.4k,555
64,Delhivery,N/A,8.7k,Logistics,Gurugram +828 other locations,23k,656
65,JSW Steel,N/A,8.7k,Iron & Steel,Ballari +216 other locations,32.4k,912
66,Ekart Logistics,N/A,8.6k,Logistics,Bengaluru +794 other locations,17.9k,434
67,Optum Global Solutions,N/A,8.6k,IT Services & Consulting,Hyderabad +71 other locations,53.2k,810
68,Ujjivan Small Finance Bank,N/A,8.4k,Banking,Bengaluru +573 other locations,13.4k,353
69,Hexaware Technologies,N/A,8.4k,IT Services & Consulting,Chennai +74 other locations,56.9k,873
